ProductKey,Supplier,HierarchyLevel1,HierarchyLevel2,DIorDOM,Seasonal
38146,21558,70060,56920,DI,False
26727,7225,70060,56920,DOM,False
63096,13901,70060,56920,DOM,False
33100,54211,70060,44977,DOM,False
44444,54211,70060,44977,DOM,False
26366,79531,70060,44977,DI,False
38755,54211,70060,44977,DOM,False
68406,54211,70060,44977,DOM,False
33946,54211,70060,44977,DOM,False
37696,54211,70060,44977,DOM,False
14664,54211,70060,44977,DOM,False
80219,54211,70060,44977,DOM,False
35174,54211,70060,44977,DOM,False
54652,54211,70060,44977,DOM,False
12700,54211,70060,44977,DOM,False
75158,54211,70060,44977,DOM,False
6876,54211,70060,44977,DOM,False
52599,54211,70060,44977,DOM,False
19172,54211,70060,44977,DOM,False
32535,54211,70060,44977,DOM,False
58383,54211,70060,44977,DOM,False
30420,54211,70060,44977,DOM,False
68720,54211,70060,44977,DOM,False
19870,21558,70060,56920,DI,False
74427,21558,70060,56920,DI,False
46856,21558,70060,56920,DI,False
42791,7225,70060,56920,DOM,False
65317,21558,70060,56920,DI,False
65003,7225,70060,56920,DOM,False
46129,21558,70060,56920,DI,False
7121,21558,70060,56920,DI,False
23656,7225,70060,56920,DOM,False
883,21558,70060,56920,DI,False
27146,67203,70060,56920,DI,False
47211,21558,70060,56920,DI,False
51934,7225,70060,56920,DOM,False
33938,21558,70060,56920,DI,False
60628,21558,70060,56920,DI,False
19940,73512,70060,56920,DI,False
30629,21558,70060,56920,DI,False
19283,21558,70060,56920,DI,False
23379,28419,70060,44977,DOM,False
76603,51981,70060,56920,DI,False
73251,51981,70060,56920,DI,False
77802,10665,70060,56920,DOM,False
69263,7225,70060,44977,DOM,False
79161,21558,70060,56920,DI,False
4637,21558,70060,56920,DI,False
19090,51981,70060,56920,DI,False
57405,51981,70060,56920,DI,False
76290,51981,70060,56920,DI,False
79509,21558,70060,56920,DI,False
42501,7225,70060,56920,DOM,False
26429,21558,70060,56920,DI,False
37469,73512,70060,56920,DI,False
31870,73512,70060,56920,DI,False
41012,7225,70060,44977,DOM,False
33663,51981,70060,56920,DI,False
79037,7225,70060,56920,DOM,False
57381,7225,70060,44977,DOM,False
18319,7225,70060,44977,DOM,False
48163,67203,70060,56920,DI,False
29440,7225,70060,44977,DOM,False
44250,7225,70060,44977,DOM,False
47050,7225,70060,44977,DOM,False
48217,35586,70060,44977,DI,False
29477,4367,70060,44977,DOM,False
48506,4367,70060,44977,DOM,False
35856,4367,70060,44977,DOM,False
19400,4367,70060,44977,DOM,False
36649,4367,70060,44977,DOM,False
67918,4367,70060,44977,DOM,False
43834,4367,70060,44977,DOM,False
78613,4367,70060,44977,DOM,False
16848,35586,70060,44977,DI,False
59755,4367,70060,44977,DOM,False
44303,4367,70060,44977,DOM,False
26354,4367,70060,44977,DOM,False
55410,4367,70060,44977,DOM,False
42245,35586,70060,44977,DI,False
46816,35586,70060,44977,DI,False
